# index  number of sampling vertical levels i j
402 18 451 489
# k value
1 1
2 1
3 1
4 1
5 1
6 1
9 0.999999
20 0.999999
30 1
40 0.999999
50 1
55 1
60 1
61 1
62 1
63 0.999999
64 1
65 1
# now the complete profile with fillled values
1 1
2 1
3 1
4 1
5 1
6 1
7 1
8 1
9 0.999999
10 0.999999
11 0.999999
12 0.999999
13 0.999999
14 0.999999
15 0.999999
16 0.999999
17 0.999999
18 0.999999
19 0.999999
20 0.999999
21 0.999999
22 0.999999
23 0.999999
24 1
25 1
26 1
27 1
28 1
29 1
30 1
31 1
32 1
33 1
34 1
35 1
36 1
37 1
38 0.999999
39 0.999999
40 0.999999
41 0.999999
42 0.999999
43 0.999999
44 0.999999
45 0.999999
46 1
47 1
48 1
49 1
50 1
51 1
52 1
53 1
54 1
55 1
56 1
57 1
58 1
59 1
60 1
61 1
62 1
63 0.999999
64 1
65 1
